8988	8999	9004	8990	8982	8998	9003	8984	9008	8995
9070	55491	28463	8876	44901	53325	6140	22951	61595	42329
52	32	30	1301	295	55	754	225	9	1308
9107	9108	13858	572	21125	5627	5649	9109	2567	2671
4648	4649	4650	35000	26842	40997	49076	29432	4647	27768
9368	42	19268	9299	9366	560	9303	8740	16214	32739
1187	3970	325	3386	4253	249	776	484	248	6815
9505	35896	35374	58643	12035	18751	44187	35643	9239	18124
9562	10935	1378	40228	30580	5902	9894	18994	54999	21454
1066	643	2434	1076	347	1188	3082	4852	3114	288
3987	20	745	8379	4336	14213	1331	4236	2350	20752
3144	2347	573	383	296	2613	285	2623	1593	2303
9797	30871	43060	10005	6453	34742	21491	22678	34750	5226
9822	45649	20359	59028	61783	46446	3734	45030	42728	52827
9862	970	3215	6161	2749	1436	978	8884	8347	8815
1666	233	2747	449	239	7839	1195	7261	917	577
9938	40179	7906	40183	22463	40191	1436	699	9050	10151
9952	9960	9965	2545	17469	11251	11631	561	978	5505
9978	27058	41833	20562	21357	60032	38250	40746	10635	4292
9125	974	68	563	1209	363	430	283	1133	3125
8651	9124	2158	4872	2623	6285	2167	2613	8647	8668
10168	47857	58572	38539	3466	50950	50956	57527	57894	32212
3	605	283	6750	17	91	68	39	3221	449
3114	1076	288	930	2478	43600	5043	1188	3001	643
196	813	11054	44660	1646	2838	124	748	14771	4188
548	8188	5405	14270	249	23966	71	4192	28227	4329
3523	3390	3780	3521	15954	50535	48794	2146	3137	481
505	30	55	32	295	1301	29	754	240	7405
3222	45866	32997	5921	49888	20666	5886	50703	46470	11332
10551	8180	4192	248	4253	3917	4308	1187	1144	4276
10622	21036	31339	31347	38312	18567	21049	4679	38315	38311
7046	2975	719	12495	1969	48518	140	3137	2909	33631
6736	574	6055	2290	3902	4864	4811	643	3738	575
10732	10745	8591	189	23221	10735	15087	8072	23209	23208
10773	10761	22429	10778	19574	4518	10760	15421	23946	34972
2225	12770	25127	11098	7933	6119	596	25783	764	47466
595	47	19832	6	732	1331	745	3800	582	3716
7937	1084	25602	49115	15166	25588	24305	51925	45944	48720
4604	5371	3779	10898	10901	5372	13746	3388	12685	469
2510	16893	42368	17691	1011	15866	2726	33862	50928	1033
10976	466	2791	1076	1779	2434	643	1066	894	1376
11073	49428	53531	11060	6583	34263	50766	14476	6573	24647
1398	708	560	3731	567	583	9299	5602	354	1528
5320	61733	33503	61731	61732	61736	33501	61734	5036	28382
1720	11175	59405	1973	20384	22436	59403	1763	11177	212
16	91	701	51	555	39	3	3125	22	563
1301	9	55	754	295	1308	240	30	29	225
601	3542	3390	2939	457	50535	3498	531	3369	69
813	11054	44660	2838	1646	748	124	14771	4188	11356
11385	23180	3393	37479	51166	50462	41340	46167	55933	3509
813	11054	44660	124	748	2838	1646	14771	4188	11356
32198	9442	531	249	647	454	438	3970	9490	776
11538	552	24399	7841	4652	2350	1540	2027	1330	43184
11578	11570	48715	49390	55676	14655	11564	13113	28453	53025
5837	284	258	4247	8681	2180	545	1115	3200	5472
11677	11676	60240	9901	61212	52152	25517	6523	9564	11530
11743	970	6095	282	3706	978	1596	24	1548	3215
11781	11775	11776	11780	60971	11779	11759	26139	45616	57000
7281	7275	7271	7273	7264	7254	7278	18067	2801	10302
11863	1838	11868	11846	11889	5589	11870	11860	11869	7564
68	605	39	17	250	6750	1412	1268	91	363
11968	11965	11948	11966	11947	24112	11967	3136	11973	10378
5607	3936	1564	946	4864	2724	634	917	347	2881
541	4526	7404	505	3706	6242	7405	29	1548	52
2156	98	5649	2504	11	928	449	2990	236	3049
